Title,Link,Creation Date,Author,Topic
Who Writes the Rules of a Blockchain?,https://hbr.org/2021/07/who-writes-the-rules-of-a-blockchain,23-Jul-21,Jake Ryan,Finance & Accounting
How to Address the Supply-Chain Staffing Crisis,https://hbr.org/2023/09/how-to-address-the-supply-chain-staffing-crisis,17-Sep-23,Joe McKendrick,Technology & Operations
Blockchain Could Help Us Reclaim Control of Our Personal Data,https://hbr.org/2017/10/smart-ledgers-can-help-us-reclaim-control-of-our-personal-data,5-Oct-17,Michael Mainelli,Analytics and data science
How Brands Are Experimenting with Web3,https://hbr.org/2022/05/how-brands-are-experimenting-with-web3,10-May-22,Ana Andjelic,Technology & Operations
Will We Realize Blockchain's Promise of Decentralization?,https://hbr.org/2019/09/will-we-realize-blockchains-promise-of-decentralization,4-Sep-19,Hanna Halaburda; Christoph Mueller Bloch,Technology & Operations
Blockchain Will Transform Customer Loyalty Programs,https://hbr.org/2017/03/blockchain-will-transform-customer-loyalty-programs,14-Mar-17,Alex J Hill; Dan Kowalewski; Jessica McLaughlin,Sales & Marketing
How Utilities Are Using Blockchain to Modernize the Grid,https://hbr.org/2017/03/how-utilities-are-using-blockchain-to-modernize-the-grid,23-Mar-17,James Basden; Michael Cottrell,Technology & Operations
Web3 Is Our Chance to Make a Better Internet,https://hbr.org/2022/05/web3-is-our-chance-to-make-a-better-internet,10-May-22,Li Jin; Katie Parrott,Technology & Operations
Sellers Are Overwhelmed by New Technology,https://hbr.org/2023/08/new-technology-is-overwhelming-sales-teams,22-Aug-23,George Tobias; Craig Riley; Colleen Giblin; Betsy Gregory-Hosler,Sales
Platforms and Blockchain Will Transform Logistics,https://hbr.org/2019/06/platforms-and-blockchain-will-transform-logistics,19-Jun-19,Sangeet Paul Choudary; Marshall W. Van Alstyne; Geoffrey G Parker,Technology & Operations
Why Decentralized Crypto Platforms Are Weathering the Crash,https://hbr.org/2022/12/why-decentralized-crypto-platforms-are-weathering-the-crash,7-Dec-22,Shai Bernstein; Scott Duke Kominers,Blockchain
Whiteboard Session: How Does Blockchain Work?,https://hbr.org/video/5582134272001/whiteboard-session-how-does-blockchain-work,20-Sep-17,Karim R. Lakhani,Technology & Operations
How the Pandemic Is Pushing Blockchain Forward,https://hbr.org/2020/04/how-the-pandemic-is-pushing-blockchain-forward,27-Apr-20,Remko Van Hoek; Remko van Hoek; Mary Lacity,Technology & Operations
Blockchain Could Help Musicians Make Money Again,https://hbr.org/2017/06/blockchain-could-help-musicians-make-money-again,5-Jun-17,Imogen Heap,Technology & Operations
Blockchain Could Make the Insurance Industry Much More Transparent,https://hbr.org/2017/07/blockchain-could-make-the-insurance-industry-much-more-transparent,12-Jul-17,Dante Disparte,Technology and analytics
How Safe Are Blockchains? It Depends.,https://hbr.org/2017/03/how-safe-are-blockchains-it-depends,7-Mar-17,Allison Berke,Technology & Operations
How the Metaverse Could Change Work,https://hbr.org/2022/04/how-the-metaverse-could-change-work,5-Apr-22,Mark Purdy,AI and machine learning
How Digital Currencies Can Help Small Businesses,https://hbr.org/2022/05/how-digital-currencies-can-help-small-businesses,25-May-22,Shai Bernstein; Christian Catalini,Blockchain
How Blockchain Can Help Marketers Build Better Relationships with Their Customers,https://hbr.org/2018/10/how-blockchain-can-help-marketers-build-better-relationships-with-their-customers,1-Oct-18,Campbell R Harvey; Christine Moorman; Marc Toledo,Sales & Marketing
"8 Questions About Using AI Responsibly, Answered",https://hbr.org/2023/05/8-questions-about-using-ai-responsibly-answered,9-May-23,Tsedal Neeley,Technology & Operations
Alibaba in Blockchain: Integrating Blockchain-based Remittances into Cloud Services,https://hbr.org/product/alibaba-in-blockchain-integrating-blockchain-based-remittances-into-cloud-services/IN1547?sku=IN1547-EPB-ENG,29-Oct-18,Jason P. Davis; Minh Vo; Anne Yang,Innovation & Entrepreneurship
Saama Technologies: Growth Through a Focused Vertical Market Strategy,https://hbr.org/product/saama-technologies-growth-through-a-focused-vertical-market-strategy/KE1086?sku=KE1086-HCB-ENG,27-Sep-18,Mohanbir Sawhney; Pallavi Goodman,Sales & Marketing
Ripple: The Business of Crypto,https://hbr.org/product/ripple-the-business-of-crypto/719506?sku=720P05-HCC-POR,19-Apr-19,David B. Yoffie; George Gonzalez,Strategy & Execution
Lark & Berry: The Diamond Disruptors,https://hbr.org/product/lark-berry-the-diamond-disruptors/LBS351?sku=LBS351-PDF-ENG,16-Nov-23,Ioannis Ioannou; Nick Mickshik,Management
Deutsche Bank: Pursuing Blockchain Opportunities (A),https://hbr.org/product/deutsche-bank-pursuing-blockchain-opportunities-a/817100?sku=819S02-PDF-SPA,11-Apr-17,Lynda M. Applegate; Roman Beck; Christoph Muller-Bloch,Innovation & Entrepreneurship
Nemus: Can Non-Fungible Tokens Save the Amazon Rainforest?,https://hbr.org/product/nemus-can-non-fungible-tokens-save-the-amazon-rainforest/W34483?sku=W34483-HCB-ENG,29-Oct-23,Ning Su; Labiba Islam,Management
Gucci in the Metaverse,https://hbr.org/product/gucci-in-the-metaverse/LBS343?sku=LBS343-EPB-ENG,16-Nov-23,Stefano Turconi; Umberto Lobina,Management
Crypto: Tools for Preparing Your Team for the Future,https://hbr.org/product/crypto-tools-for-preparing-your-team-for-the-future/10674?sku=10674-ZIP-ENG,16-Feb-23,Harvard Business Review; Jeff John Roberts; Omid Malekan; Molly White; Steve Glaveski,Management
"Bext360 and the ESG Paradox: Leveraging AI, blockchain, and IoT for Supply-Chain-Level ESG Measurement",https://hbr.org/product/bext360-and-the-esg-paradox-leveraging-ai-blockchain-and-iot-for-supply-chain-level-esg-measurement/TB0696?sku=TB0696-HCB-ENG,31-Dec-22,William E Youngdahl; B. Tom Hunsaker,Management
The Real Business of Blockchain: How Leaders Can Create Value in a New Digital Age,https://hbr.org/product/the-real-business-of-blockchain-how-leaders-can-create-value-in-a-new-digital-age/10292?sku=10292-ABK-ENG,15-Oct-19,David Furlonger; Christophe Uzureau,Technology & Operations
Global Token: Receiving Unclean Audit Opinion Twice on the Blockchain Operations,https://hbr.org/product/global-token-receiving-unclean-audit-opinion-twice-on-the-blockchain-operations/HK1269?sku=HK1269-HCB-ENG,7-Feb-21,Sammy Fung; Tsun-kan Wan,Technology & Operations
Steem versus Hive: Testing Blockchain Governance,https://hbr.org/product/steem-versus-hive-testing-blockchain-governance/822075?sku=822075-EPB-ENG,11-Jan-22,Shikhar Ghosh; Shweta Bagai,Innovation & Entrepreneurship
Axie Infinity: Video Game Meets Blockchain,https://hbr.org/product/axie-infinity-video-game-meets-blockchain/224021?sku=224021-XML-ENG,28-Nov-23,Marco Di Maggio; Wenyao Sha,Management
JD: E-invoice with Blockchain,https://hbr.org/product/jd-e-invoice-with-blockchain/W20197?sku=W20197-PDF-ENG,31-Mar-20,Nina Yan; Jing Chen; Hubert Pun; Yongqin Lei,Strategy & Execution
Blockchain for Managers,https://hbr.org/product/blockchain-for-managers/IES745?sku=IES745-EPB-ENG,14-May-19,Robert Wayne Gregory; Brana Savic,Technology & Operations
Chia Network: Reimagining Programmable Money,https://hbr.org/product/chia-network-reimagining-programmable-money/822039?sku=822039-EPB-ENG,29-Oct-21,William A. Sahlman; George Gonzalez,Innovation & Entrepreneurship
5 Years of Must Reads from HBR: 2022 Edition (5 Books),https://hbr.org/product/5-years-of-must-reads-from-hbr-2022-edition-5-books/10583?sku=10583-PDF-ENG,10-May-22,Harvard Business Review; Michael E. Porter; Joan C. Williams; Marcus Buckingham; Frances X. Frei,Leadership & Managing People
Deutsche Bank: Pursuing Blockchain Opportunities (B),https://hbr.org/product/deutsche-bank-pursuing-blockchain-opportunities-b/817101?sku=819S03-HCB-SPA,11-Apr-17,Lynda M. Applegate; Roman Beck; Christoph Muller-Bloch,Innovation & Entrepreneurship
Commercial International Bank: Leading Transformation in Turbulent Times,https://hbr.org/product/commercial-international-bank-leading-transformation-in-turbulent-times/LBS202?sku=LBS202-XML-ENG,1-Feb-18,Anna Johnston; Randall S. Peterson,Organizational Development
Meta: Facebook's Pivot to the Metaverse. A Path to Dystopia or Blue Ocean Utopia?,https://hbr.org/product/meta-facebook-s-pivot-to-the-metaverse-a-path-to-dystopia-or-blue-ocean-utopia/IN1812?sku=IN1812-XML-ENG,19-Jan-22,W. Chan Kim; Renee Mauborgne; Michael Olenick,Strategy & Execution
Who Writes the Rules of a Blockchain?,https://hbr.org/2021/07/who-writes-the-rules-of-a-blockchain,23-Jul-21,Jake Ryan,Finance & Accounting
Alibaba in Blockchain: Integrating Blockchain-based Remittances into Cloud Services,https://hbr.org/product/alibaba-in-blockchain-integrating-blockchain-based-remittances-into-cloud-services/IN1547?sku=IN1547-EPB-ENG,29-Oct-18,Jason P. Davis; Minh Vo; Anne Yang,Innovation & Entrepreneurship
Saama Technologies: Growth Through a Focused Vertical Market Strategy,https://hbr.org/product/saama-technologies-growth-through-a-focused-vertical-market-strategy/KE1086?sku=KE1086-HCB-ENG,27-Sep-18,Mohanbir Sawhney; Pallavi Goodman,Sales & Marketing
Ripple: The Business of Crypto,https://hbr.org/product/ripple-the-business-of-crypto/719506?sku=720P05-HCC-POR,19-Apr-19,David B. Yoffie; George Gonzalez,Strategy & Execution
How to Address the Supply-Chain Staffing Crisis,https://hbr.org/2023/09/how-to-address-the-supply-chain-staffing-crisis,17-Sep-23,Joe McKendrick,Technology & Operations
"BYD: Blockchain-Enabled Green Ecosystem, Teaching Note",https://hbr.org/product/byd-blockchain-enabled-green-ecosystem-teaching-note/W20639?sku=W20639-HCB-ENG,10-Aug-20,Jiayuan Han; Hubert Pun; Wenbin Wang; Hang Wei; Ziheng Zhou,Strategy & Execution
That's Not My Tuna,https://hbr.org/product/that-s-not-my-tuna/BEP520?sku=BEP520-PDF-ENG,3-Mar-20,Kate Baucherel,Finance & Accounting
Blockchain Could Help Us Reclaim Control of Our Personal Data,https://hbr.org/2017/10/smart-ledgers-can-help-us-reclaim-control-of-our-personal-data,5-Oct-17,Michael Mainelli,Analytics and data science
Mind the gap: Tech-based dispute resolutions in global supply blockchains,https://hbr.org/product/mind-the-gap-tech-based-dispute-resolutions-in-global-supply-blockchains/BH1211?sku=BH1211-XML-ENG,31-Dec-22,Patricia Zivkovic; Denise McCurdy; Mimi Zou; Anjanette H Raymond,Management
Lark & Berry: The Diamond Disruptors,https://hbr.org/product/lark-berry-the-diamond-disruptors/LBS351?sku=LBS351-PDF-ENG,16-Nov-23,Ioannis Ioannou; Nick Mickshik,Management
